Name,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Filename,Internal ID,Unique Entry ID,Purchasable
ski-slope flooring,False,True,NFS,3200,White,White,,Crafting,,1.0.0,freezing cold,None,None,Nature - White,RoomTexFloorGelande00,4989,NpqGszuaZckXifyju,False
skull-print flooring,False,False,3000,750,Black,Black,,Nook's Cranny,,1.0.0,horror,child's room,None,Cloth Floors,RoomTexFloorSkull00,5248,Ghp5z68RNmKQDDCzz,True
slate flooring,False,False,1380,345,Gray,Gray,,Nook's Cranny,,1.0.0,facility,shop,None,Stone Floors,RoomTexFloorSlate00,5233,hchG9hWK9Ci3iXzTN,True
starry-sands flooring,False,True,NFS,7720,Beige,White,,Crafting,,1.0.0,ocean,fancy,None,Nature - White,RoomTexFloorSandStar00,7239,54Jcui933sPTvdqXY,False
steel flooring,False,True,NFS,5250,Gray,Gray,,Crafting,,1.0.0,garage,facility,None,Iron,RoomTexFloorSteel00,4960,nYi4jRsp3MXrnPPDR,False
stone tile,False,False,3000,750,White,White,,Nook's Cranny,,1.0.0,expensive,facility,None,Stone Floors,RoomTexFloorMarble00,5069,RNMhc9jJApavmhgPC,True
stripe flooring,False,False,1200,300,Colorful,Gray,,Nook's Cranny,,1.0.0,living room,child's room,None,Cloth Floors,RoomTexFloorStripe00,4963,5CY9wQTePbYzQTDF2,True
sumo ring,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,fitness,zen-style,None,Sports Floor,RoomTexFloorArena00,5013,qKfY2Nnx5ApBzgGEF,False
swamp flooring,False,False,3000,750,Black,Gray,,Saharah,,1.0.0,garden,horror,None,Nature - Brown,RoomTexFloorBog00,5238,vTPvWC9bkZyeP7BxS,False
tatami,False,False,2200,550,Beige,Beige,,Nook's Cranny,,1.0.0,zen-style,living room,None,Tatami,RoomTexFloorTatami00,5039,jdcZQ9LCDoroeYKws,True
tatami flooring,False,False,2200,550,Green,White,,Nook's Cranny,,1.0.0,zen-style,living room,None,Tatami Panel,RoomTexFloorTatamiPanel00,5077,Qo5nLhbZ7iD5JLP4Z,True
terra-cotta flooring,False,False,1800,450,Orange,Orange,,Nook's Cranny,,1.0.0,facility,shop,None,Tile Floors,RoomTexFloorTileTerracotta00,4971,Ec8TrwurFcmQKi4CZ,True
tiger-print flooring,False,False,1300,325,Black,Orange,,Nook's Cranny,,1.0.0,party,fancy,None,Animal Floor,RoomTexFloorAnimal03,6848,uz5PotSZqNAT5kgtT,True
train-station flooring,False,False,3000,750,Beige,Brown,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorPlatform00,5009,khwvshrYhvaL9FPsC,False
underwater flooring,True,True,NFS,6600,Blue,Light blue,,Crafting,,1.0.0,ocean,None,None,Special Nature Floors,RoomSpFloorFishTank00,5268,bGowh78amRY7uJsYE,False
water flooring,True,True,NFS,7200,Light blue,Blue,,Crafting,,1.0.0,ocean,None,None,Special Nature Floors,RoomSpFloorWater00,5030,opJSK2mkCqkBRQTW3,False
western desert,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,folk art,horror,None,Nature - Brown,RoomTexFloorWilderness00,4984,24mkYXzRGCvGibXQ9,False
white honeycomb tile,False,False,1420,355,White,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Honeycomb,RoomTexFloorHoneycomb03,5042,RKrRAgjoevjYsLwTp,True
white iron-parquet flooring,False,False,2350,587,White,White,,Nook's Cranny,,1.0.0,expensive,living room,None,Iron Parquet,RoomTexFloorParquetIron03,6843,ZFAq3rRLCCRRgAcF7,True
white mosaic-tile flooring,False,False,900,225,White,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Tile Floors,RoomTexFloorTile00,5020,23nmmfSJ7pvKyeuFZ,True
white wedding flooring,,False,3000,750,None,None,,Wedding Season,,1.2.0,party,expensive,wedding,Tile Floors,RoomTexFloorMarbleTile00,12431,GYZ8kvbfYK7i2NcvT,False
white-brick flooring,False,False,1040,260,White,White,,Nook's Cranny,,1.0.0,facility,shop,None,Brick,RoomTexFloorBrick00,4974,83vQYs26vwE7aa4bZ,True
white-chocolates flooring,False,False,3000,750,White,Beige,,Saharah,,1.0.0,fancy,None,None,Chocolate,RoomTexFloorChocolate01,5052,b2WBXQkcAqfJ48RH3,False
white-paint flooring,False,False,1040,260,White,White,,Nook's Cranny,,1.0.0,living room,child's room,None,Painted Wood,RoomTexFloorPaintWood03,5060,JdnrGbAMW7FBxrw5P,True
wildflower meadow,False,False,3000,750,Green,Green,,Saharah,,1.0.0,garden,fancy,None,Grassland,RoomTexFloorGrassland01,5006,dYb6DAfZQJTGN7svs,False
wooden-knot flooring,False,False,780,195,Brown,Brown,,Nook's Cranny,,1.0.0,living room,child's room,None,Wood Floors,RoomTexFloorCedar00,5049,ttyLLQ39Dc3fK32JE,True
yellow floral flooring,False,False,1520,380,Yellow,Yellow,,Nook's Cranny,,1.0.0,shop,living room,None,Deco Wood,RoomTexFloorDecoWood00,5073,R69sMEPHQGu7fBzuQ,True
zebra-print flooring,False,False,1300,325,Black,White,,Nook's Cranny,,1.0.0,party,fancy,None,Animal Floor,RoomTexFloorAnimal02,4962,9Mdszd5EgwJ6omLPf,True
